fips,stock_jan1,entries,exits,year,entry_rate,exit_rate,definition
05139,28,2,2,2006,0.07142857142857142,0.07142857142857142,E1 store
05141,8,0,0,2006,0.0,0.0,E1 store
05143,72,9,2,2006,0.125,0.027777777777777776,E1 store
05145,37,4,1,2006,0.10810810810810811,0.02702702702702703,E1 store
05147,9,0,0,2006,0.0,0.0,E1 store
05149,13,1,2,2006,0.07692307692307693,0.15384615384615385,E1 store
06001,764,86,108,2006,0.112565445026178,0.14136125654450263,E1 store
06005,21,0,2,2006,0.0,0.09523809523809523,E1 store
06007,149,31,29,2006,0.2080536912751678,0.19463087248322147,E1 store
06009,24,1,6,2006,0.041666666666666664,0.25,E1 store
06011,20,2,4,2006,0.1,0.2,E1 store
06013,386,38,57,2006,0.09844559585492228,0.14766839378238342,E1 store
06015,25,0,2,2006,0.0,0.08,E1 store
06017,66,6,12,2006,0.09090909090909091,0.18181818181818182,E1 store
06019,780,101,101,2006,0.1294871794871795,0.1294871794871795,E1 store
06021,29,11,10,2006,0.3793103448275862,0.3448275862068966,E1 store
06023,103,9,12,2006,0.08737864077669903,0.11650485436893204,E1 store
06025,83,6,10,2006,0.07228915662650602,0.12048192771084337,E1 store
06027,14,1,0,2006,0.07142857142857142,0.0,E1 store
06029,564,66,79,2006,0.11702127659574468,0.1400709219858156,E1 store
06031,103,11,15,2006,0.10679611650485436,0.14563106796116504,E1 store
06033,52,8,8,2006,0.15384615384615385,0.15384615384615385,E1 store
06035,25,4,6,2006,0.16,0.24,E1 store
06037,5866,912,1140,2006,0.15547221275144904,0.19434026593931128,E1 store
06039,106,8,10,2006,0.07547169811320754,0.09433962264150944,E1 store
06041,79,3,16,2006,0.0379746835443038,0.20253164556962025,E1 store
06043,13,1,2,2006,0.07692307692307693,0.15384615384615385,E1 store
06045,83,4,15,2006,0.04819277108433735,0.18072289156626506,E1 store
06047,194,14,19,2006,0.07216494845360824,0.0979381443298969,E1 store
06049,10,0,2,2006,0.0,0.2,E1 store
06051,9,0,1,2006,0.0,0.1111111111111111,E1 store
06053,247,17,44,2006,0.06882591093117409,0.17813765182186234,E1 store
06055,52,3,8,2006,0.057692307692307696,0.15384615384615385,E1 store
06057,42,9,11,2006,0.21428571428571427,0.2619047619047619,E1 store
06059,831,139,197,2006,0.16726835138387486,0.23706377858002406,E1 store
06061,120,7,21,2006,0.058333333333333334,0.175,E1 store
06063,17,1,5,2006,0.058823529411764705,0.29411764705882354,E1 store
06065,734,102,125,2006,0.13896457765667575,0.17029972752043596,E1 store
06067,751,94,112,2006,0.12516644474034622,0.14913448735019974,E1 store
06069,16,3,4,2006,0.1875,0.25,E1 store
06071,927,138,114,2006,0.1488673139158576,0.12297734627831715,E1 store
06073,954,160,159,2006,0.16771488469601678,0.16666666666666666,E1 store
06075,528,44,79,2006,0.08333333333333333,0.14962121212121213,E1 store
06077,402,41,51,2006,0.10199004975124377,0.12686567164179105,E1 store
06079,101,13,20,2006,0.12871287128712872,0.19801980198019803,E1 store
06081,188,16,25,2006,0.0851063829787234,0.13297872340425532,E1 store
06083,178,20,23,2006,0.11235955056179775,0.12921348314606743,E1 store
06085,568,60,101,2006,0.1056338028169014,0.17781690140845072,E1 store
06087,119,13,15,2006,0.1092436974789916,0.12605042016806722,E1 store
06089,121,16,13,2006,0.1322314049586777,0.10743801652892562,E1 store
06091,3,0,0,2006,0.0,0.0,E1 store
06093,42,1,3,2006,0.023809523809523808,0.07142857142857142,E1 store
06095,177,25,26,2006,0.14124293785310735,0.14689265536723164,E1 store
06097,206,15,34,2006,0.07281553398058252,0.1650485436893204,E1 store
06099,362,39,42,2006,0.10773480662983426,0.11602209944751381,E1 store
06101,85,5,8,2006,0.058823529411764705,0.09411764705882353,E1 store
06103,44,5,6,2006,0.11363636363636363,0.13636363636363635,E1 store
06105,24,1,3,2006,0.041666666666666664,0.125,E1 store
06107,392,51,48,2006,0.13010204081632654,0.12244897959183673,E1 store
06109,31,2,5,2006,0.06451612903225806,0.16129032258064516,E1 store
06111,337,37,47,2006,0.10979228486646884,0.1394658753709199,E1 store
06113,105,14,15,2006,0.13333333333333333,0.14285714285714285,E1 store
06115,73,6,15,2006,0.0821917808219178,0.2054794520547945,E1 store
08001,136,22,22,2006,0.16176470588235295,0.16176470588235295,E1 store
08003,8,1,0,2006,0.125,0.0,E1 store
08005,151,22,26,2006,0.1456953642384106,0.17218543046357615,E1 store
08007,3,0,0,2006,0.0,0.0,E1 store
08009,3,1,0,2006,0.3333333333333333,0.0,E1 store
08011,5,0,0,2006,0.0,0.0,E1 store
08013,63,5,6,2006,0.07936507936507936,0.09523809523809523,E1 store
08014,12,0,1,2006,0.0,0.08333333333333333,E1 store
08015,11,1,2,2006,0.09090909090909091,0.18181818181818182,E1 store
08017,2,0,0,2006,0.0,0.0,E1 store
08019,1,0,0,2006,0.0,0.0,E1 store
08021,6,1,2,2006,0.16666666666666666,0.3333333333333333,E1 store
08023,8,1,1,2006,0.125,0.125,E1 store
08025,4,0,0,2006,0.0,0.0,E1 store
08027,3,0,0,2006,0.0,0.0,E1 store
08029,10,1,1,2006,0.1,0.1,E1 store
08031,254,51,35,2006,0.20078740157480315,0.1377952755905512,E1 store
08033,1,0,0,2006,0.0,0.0,E1 store
08035,32,6,2,2006,0.1875,0.0625,E1 store
08037,9,0,0,2006,0.0,0.0,E1 store
08039,1,1,0,2006,1.0,0.0,E1 store
